"Record ID","First Name","Last Name","Email","Phone Number","Contact owner","Primary Associated Company ID","Last Activity Date","Lead Status","Marketing contact status","Create Date","Associated Company"
"238600957942","Heather","Taylor","jackson24@gmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238599160789","Melissa","Garcia","amber79@williams-brennan.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238710278105","Nicole","Hanson","hubertyler@gmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239763522548","David","Clark","jasondixon@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238600957941","Kathleen","White","tanner88@arroyo.biz","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239264242631","Jeff","Pena","connie24@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238773181372","Diane","Andrade","htaylor@moon-lewis.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239765327803","Francis","English","ashleysantiago@pearson.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239800635372","Anna","Branch","williamsjoseph@bradford.com","","","","2025-03-14 11:56","","Non-marketing contact","2025-03-14 10:35",""
"238713864167","William","Johnson","millerderek@maldonado-french.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238773181370","John","Wade","carlhill@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239800635374","Taylor","Jones","alvaradojulie@williams-lyons.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238710278099","Adam","Vega","chelsey72@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238599160790","Judy","Rodriguez","csmith@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238721070031","Elizabeth","Hernandez","tuckerjamie@hotmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239765327802","Roberto","Thomas","chadgarcia@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239763522549","Angela","Hester","tharper@vega.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238774976461","Jennifer","Hernandez","sean96@gmail.com","","","","2025-03-14 11:54","","Non-marketing contact","2025-03-14 10:35",""
"238773180408","Nicole","Monroe","michellewhite@yahoo.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238778576846","Kaitlin","Conley","ngreen@petersen-mccarthy.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239750618045","Deborah","Montes","tiffany01@gomez-stevens.info","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238778576845","Monique","Garrison","acevedomatthew@green.org","","","186285200361","","","Non-marketing contact","2025-03-14 10:35","Feathered Friends Aviary"
"239761716212","Scott","Brown","dkelly@harper-calhoun.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239750618046","Nicole","West","baileyricky@holden.info","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238710278102","Jerry","Montes","qbright@johnson.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238708473807","Dana","Ross","amytucker@clark-terry.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238599160787","Julia","Rodriguez","anngraham@hotmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238599160785","Michael","Evans","osexton@miranda-contreras.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238710278103","Jonathan","Hicks","ucarrillo@turner.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238721070035","Raymond","Johnson","wjones@mitchell.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"239264242628","Joseph","Fernandez","colemansusan@brown.info","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238599160788","Aaron","Mahoney","angela90@hotmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238599160786","David","Moreno","robert49@gmail.com","","","186272605136","","","Non-marketing contact","2025-03-14 10:35","The Happy Paw"
"239264242630","Sarah","Liu","moraleschristina@hotmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238774976462","Robert","Armstrong","randallsimmons@foster.biz","","","186272605137","2025-05-02 09:44","","Non-marketing contact","2025-03-14 10:35","Pet Haven Store"
"238708473809","Alvin","Kelly","vmartin@gmail.com","","","","","","Non-marketing contact","2025-03-14 10:35",""
"238713864168","Alex","Carter","alex.carter@pawsclean.com","555-123-4567","","","2025-03-14 11:54","","Non-marketing contact","2025-03-13 15:03",""
"239800635373","Megan","Foster","megan.foster@premiumtreats.com","555-654-3210","","","","","Non-marketing contact","2025-03-13 15:03",""
"239800635371","Sarah","Miller","sarah.miller@doglovers.com","555-334-7721","","","","","Non-marketing contact","2025-03-13 15:03",""
"238710278101","Tom","Jones","tom.jones@excellentplants.com","555-201-9876","","","","","Non-marketing contact","2025-03-13 15:03",""
"239761716211","David","Johnson","david.johnson@exoticanimals.com","555-321-7654","","","","","Non-marketing contact","2025-03-13 15:03",""
"238710278100","Robert","Smith","robert.smith@zoosupplies.com","555-345-6789","","","","","Non-marketing contact","2025-03-13 15:03",""
"238721070032","Emily","Davis","emily.davis@happytails.com","555-876-5432","","","","","Non-marketing contact","2025-03-13 15:03",""
"239763522550","Michael","Reynolds","mike.reynolds@catcare.com","555-213-8790","","","","","Non-marketing contact","2025-03-13 15:03",""
"238600957939","Lisa","Chang","lisa.chang@furryfriends.com","555-678-9012","","186318153703","","","Non-marketing contact","2025-03-13 15:03","Furry Friends Grooming"
"238721070030","Jennifer","Lopez","j.lopez@petworldstore.com","555-987-1234","","187230825404","","","Non-marketing contact","2025-03-13 15:03","Pet Paradise Market"
